452 1458 1286 172 11.797 94.8378
#timestep,clever_speedup,fast_speedup,clever_time,fast_time,zero_time,clever_iter,fast_iter,zero_iter,clever_sav,fast_sav,tridiagTime,cuspHintTime,clever_iter_perc_savings,fast_iter_perc_savings,channel%%,current%%,solver%%
0.39,0.62917,0.994707,1.0992,0.695264,0.691584,1,1,1,0,0,0.418752,0.680448,0,0,2.78241,3.23931,93.9783
0.4,0.616266,0.978913,1.1257,0.708672,0.693728,1,1,1,0,0,0.418048,0.707648,0,0,2.72939,3.1388,94.1318
0.41,0.624016,0.994532,1.10992,0.696416,0.692608,1,1,1,0,0,0.427744,0.682176,0,0,2.68153,2.98885,94.3296
0.42,0.620551,0.982064,1.104,0.6976,0.685088,1,1,1,0,0,0.418688,0.685312,0,0,2.79587,3.191,94.0131
0.43,0.607428,0.973406,1.12611,0.70272,0.684032,1,1,1,0,0,0.418336,0.707776,0,0,2.74302,3.17346,94.0835
0.44,0.616204,0.963851,1.10909,0.709056,0.683424,1,1,1,0,0,0.41936,0.689728,0,0,2.78162,3.25336,93.965
0.45,0.618117,0.992166,1.11456,0.694368,0.688928,1,1,1,0,0,0.432992,0.681568,0,0,2.68229,3.04498,94.2727
0.46,0.621476,0.986222,1.10205,0.694464,0.684896,1,1,1,0,0,0.4216,0.680448,0,0,2.87146,3.30464,93.8239
0.47,0.623097,0.985794,1.10118,0.696032,0.686144,1,1,1,0,0,0.419552,0.681632,0,0,2.8006,3.26737,93.932
0.48,0.630605,0.989293,1.10182,0.702336,0.694816,1,1,1,0,0,0.419712,0.682112,0,0,2.80302,3.22061,93.9764
0.49,0.634822,1.00924,1.11174,0.699296,0.70576,1,1,1,0,0,0.419808,0.691936,0,0,2.7385,2.96919,94.2923
0.5,0.608388,0.978,1.12234,0.698176,0.682816,1,1,1,0,0,0.418496,0.70384,0,0,2.75133,3.19648,94.0522
0.51,0.619148,0.984949,1.10598,0.695232,0.684768,1,1,1,0,0,0.41984,0.686144,0,0,2.83509,3.21835,93.9466
0.52,0.647251,1.01096,1.0993,0.703808,0.71152,1,1,1,0,0,0.418816,0.68048,0,0,2.81575,3.27228,93.912
0.53,0.625161,0.997087,1.12125,0.703008,0.70096,1,1,1,0,0,0.42448,0.696768,0,0,2.66889,3.06169,94.2694
0.54,0.649859,1.05048,1.12202,0.694112,0.729152,1,1,1,0,0,0.439296,0.68272,0,0,2.7427,3.2521,94.0052
0.55,0.617471,0.954539,1.10774,0.716576,0.684,1,1,1,0,0,0.427136,0.680608,0,0,2.79113,3.22011,93.9888
0.56,1.00167,1.60254,1.11315,0.695776,1.11501,1,1,1,0,0,0.431488,0.681664,0,0,2.83745,3.15903,94.0035
0.57,0.621497,0.989929,1.12358,0.705408,0.698304,1,1,1,0,0,0.435712,0.687872,0,0,2.71054,2.96575,94.3237
0.58,0.616104,0.984459,1.1088,0.69392,0.683136,1,1,1,0,0,0.42752,0.68128,0,0,2.78185,3.17809,94.0401
0.59,0.629132,0.997054,1.10176,0.6952,0.693152,1,1,1,0,0,0.418816,0.682944,0,0,2.79598,3.19463,94.0094
0.6,0.612407,0.983435,1.1168,0.695456,0.683936,1,1,1,0,0,0.419424,0.697376,0,0,2.78929,3.247,93.9637
0.61,0.612213,0.996384,1.1377,0.69904,0.696512,1,1,1,0,0,0.440384,0.697312,0,0,2.75557,3.1341,94.1103
0.62,0.620002,0.986525,1.11091,0.698176,0.688768,1,1,1,0,0,0.42432,0.686592,0,0,2.66551,3.10252,94.232
0.63,0.621243,0.967173,1.10179,0.707712,0.68448,1,1,1,0,0,0.418848,0.682944,0,0,2.80871,3.20996,93.9813
0.64,0.621074,0.983512,1.10029,0.694816,0.68336,1,1,1,0,0,0.41936,0.680928,0,0,2.81294,3.19291,93.9941
0.65,0.619128,0.981867,1.1055,0.697088,0.684448,1,1,1,0,0,0.421184,0.68432,0,0,2.84689,3.21668,93.9364
0.66,0.621368,0.993846,1.1145,0.6968,0.692512,1,1,1,0,0,0.430368,0.684128,0,0,2.75922,3.02702,94.2138
0.67,0.623105,0.986005,1.09994,0.695104,0.685376,1,1,1,0,0,0.418496,0.68144,0,0,2.81902,3.19635,93.9846
0.68,0.629181,0.996548,1.10122,0.695264,0.692864,1,1,1,0,0,0.419872,0.681344,0,0,2.80167,3.22766,93.9707
0.69,0.617463,0.975399,1.10755,0.70112,0.683872,1,1,1,0,0,0.419488,0.688064,0,0,2.7906,3.25479,93.9546
0.7,0.614986,0.983459,1.12918,0.706112,0.694432,1,1,1,0,0,0.427776,0.701408,0,0,2.66029,2.99449,94.3452
0.71,0.61797,0.985565,1.11011,0.696064,0.686016,1,1,1,0,0,0.420224,0.689888,0,0,2.80862,3.23384,93.9575
0.72,0.621646,0.973372,1.10077,0.703008,0.684288,1,1,1,0,0,0.419584,0.681184,0,0,2.81148,3.20219,93.9863
0.73,0.622005,0.984672,1.10054,0.6952,0.684544,1,1,1,0,0,0.419328,0.681216,0,0,2.86807,3.19039,93.9415
0.74,0.610539,0.979932,1.13379,0.7064,0.692224,1,1,1,0,0,0.440128,0.693664,0,0,2.71911,2.92152,94.3594
0.75,0.621016,0.980656,1.1024,0.698112,0.684608,1,1,1,0,0,0.42016,0.68224,0,0,2.70144,3.00799,94.2906
0.76,0.61827,0.983622,1.10662,0.695584,0.684192,1,1,1,0,0,0.425664,0.68096,0,0,2.85427,3.22905,93.9167
0.77,0.624647,0.990138,1.1007,0.6944,0.687552,1,1,1,0,0,0.418784,0.68192,0,0,2.80729,3.2606,93.9321
0.78,0.623983,0.938941,1.1088,0.736864,0.691872,1,1,1,0,0,0.418976,0.689824,0,0,2.81423,3.2426,93.9432
0.79,0.623119,0.994054,1.10762,0.694304,0.690176,1,1,1,0,0,0.421152,0.686464,0,0,2.67855,3.00553,94.3159
0.8,0.620794,0.964631,1.09939,0.70752,0.682496,1,1,1,0,0,0.419104,0.680288,0,0,2.809,3.22201,93.969
0.81,0.612378,0.968417,1.1168,0.706208,0.683904,1,1,1,0,0,0.434752,0.682048,0,0,2.90393,3.25616,93.8399
0.82,0.62152,0.966905,1.11613,0.71744,0.693696,1,1,1,0,0,0.418784,0.697344,0,0,2.77149,3.19476,94.0337
