0,0.099631,0.0529325,0.596121,0.317677 4 5 0.827713
0.01,0.19908,0.0529588,0.596117,0.31768 4 5 0.918563
0.02,0.298532,0.0530102,0.596108,0.317685 4 5 0.910988
0.03,0.398165,0.0530857,0.596096,0.317694 4 5 0.913646
0.04,0.498154,0.0531845,0.59608,0.317705 4 5 0.922983
0.05,0.598668,0.0533057,0.596059,0.317719 4 5 0.895562
0.06,0.699877,0.0534487,0.596034,0.317736 4 5 0.932542
0.07,0.801943,0.0536127,0.596005,0.317756 4 5 0.916713
0.08,0.90503,0.0537972,0.595972,0.317778 4 5 0.906675
0.09,1.0093,0.0540018,0.595934,0.317804 4 5 0.903923
0.1,1.11491,0.0542261,0.595892,0.317833 4 5 0.894866
0.11,1.22201,0.0544698,0.595845,0.317864 4 5 0.912458
0.12,1.33078,0.0547326,0.595794,0.317899 4 5 0.896942
0.13,1.44136,0.0550143,0.595738,0.317937 4 5 0.940977
0.14,1.55392,0.0553149,0.595677,0.317978 4 5 0.915679
0.15,1.66861,0.0556343,0.595612,0.318022 4 5 0.902792
0.16,1.7856,0.0559726,0.595541,0.31807 4 5 0.914854
0.17,1.90505,0.0563297,0.595466,0.31812 4 5 0.909179
0.18,2.02712,0.0567058,0.595385,0.318175 4 5 0.902598
0.19,2.15199,0.0571012,0.595299,0.318233 4 5 0.904486
0.2,2.27982,0.057516,0.595207,0.318295 4 5 0.943768
0.21,2.41079,0.0579507,0.595109,0.31836 4 5 0.918236
0.22,2.54507,0.0584055,0.595006,0.318429 4 5 0.905434
0.23,2.68284,0.058881,0.594897,0.318502 4 5 0.916575
0.24,2.8243,0.0593776,0.594781,0.31858 4 5 0.909458
0.25,2.96963,0.0598958,0.594659,0.318661 4 5 0.90401
0.26,3.11902,0.0604363,0.59453,0.318747 4 5 0.929475
0.27,3.27268,0.0609998,0.594394,0.318837 4 5 0.940856
0.28,3.43082,0.0615871,0.594251,0.318932 4 5 0.896081
0.29,3.59366,0.0621989,0.594101,0.319032 4 5 0.915834
0.3,3.76141,0.0628361,0.593943,0.319137 4 5 0.920218
0.31,3.93431,0.0634998,0.593777,0.319247 4 5 0.888261
0.32,4.11259,0.0641909,0.593602,0.319362 4 5 0.916788
0.33,4.29652,0.0649106,0.593419,0.319482 4 5 0.910588
0.34,4.48635,0.0656601,0.593227,0.319609 4 5 0.9294
0.35,4.68235,0.0664407,0.593026,0.319741 4 5 0.909585
0.36,4.88482,0.0672537,0.592814,0.319879 4 5 0.897058
0.37,5.09405,0.0681008,0.592592,0.320024 4 5 0.898346
0.38,5.31036,0.0689834,0.59236,0.320176 4 5 0.903196
0.39,5.53408,0.0699033,0.592116,0.320334 4 5 0.914302
0.4,5.76556,0.0708624,0.591861,0.320499 4 5 0.897841
0.41,6.00519,0.0718626,0.591593,0.320672 4 5 0.931939
0.42,6.25335,0.072906,0.591313,0.320853 4 5 0.912991
0.43,6.51046,0.073995,0.591019,0.321042 4 5 0.907408
0.44,6.77698,0.0751318,0.59071,0.32124 4 5 0.904143
0.45,7.05338,0.0763193,0.590387,0.321446 4 5 0.90839
0.46,7.34018,0.0775601,0.590048,0.321661 4 5 0.91447
0.47,7.63794,0.0788573,0.589692,0.321887 4 5 0.915571
0.48,7.94724,0.0802141,0.589319,0.322122 4 5 0.945542
0.49,8.26874,0.0816341,0.588927,0.322368 4 5 0.916395
0.5,8.60314,0.083121,0.588516,0.322626 4 5 0.897101
0.51,8.9512,0.0846789,0.588083,0.322895 4 5 0.909151
0.52,9.31375,0.0863124,0.587629,0.323176 4 5 0.931749
0.53,9.69169,0.0880262,0.587151,0.32347 4 5 0.902891
0.54,10.086,0.0898255,0.586648,0.323778 4 5 0.911076
0.55,10.4979,0.091716,0.586118,0.324101 4 5 0.944415
0.56,10.9284,0.0937041,0.585559,0.324438 4 5 0.907204
0.57,11.3791,0.0957965,0.58497,0.324792 4 5 0.887691
0.58,11.8512,0.0980006,0.584348,0.325162 4 5 0.912025
0.59,12.3466,0.100325,0.583691,0.325551 4 5 0.89799
0.6,12.8671,0.102778,0.582995,0.325959 4 5 0.902018
0.61,13.4146,0.10537,0.582258,0.326387 4 5 0.910246
0.62,13.9917,0.108113,0.581476,0.326838 4 5 0.920117
0.63,14.6007,0.111018,0.580645,0.327311 4 5 0.904813
0.64,15.2448,0.114099,0.579762,0.327809 4 5 0.917132
0.65,15.9269,0.117372,0.57882,0.328335 4 5 0.907822
0.66,16.6509,0.120854,0.577815,0.328888 4 5 0.900556
0.67,17.4206,0.124563,0.576739,0.329473 4 5 0.911375
0.68,18.2406,0.128522,0.575587,0.330092 4 5 0.932553
0.69,19.1156,0.132755,0.574349,0.330747 4 5 0.93198
0.7,20.0509,0.137288,0.573017,0.331441 4 5 0.912264
0.71,21.052,0.142153,0.57158,0.332179 4 5 0.916519
0.72,22.1248,0.147384,0.570026,0.332963 4 5 0.904388
0.73,23.275,0.153019,0.568343,0.333799 4 5 0.928853
0.74,24.5083,0.159099,0.566517,0.33469 4 5 0.912398
0.75,25.83,0.165672,0.564532,0.335643 4 5 0.90112
0.76,27.2444,0.172789,0.562374,0.336663 4 5 0.934187
0.77,28.7551,0.180502,0.560025,0.337755 4 5 0.911892
0.78,30.364,0.188871,0.557472,0.338928 4 5 0.923236
0.79,32.0719,0.197953,0.554702,0.340186 5 5 1.17554
0.8,33.8782,0.207808,0.551705,0.341537 5 6 0.950875
0.81,35.7813,0.218494,0.548476,0.342989 5 6 0.949844
0.82,37.779,0.230067,0.545015,0.344548 5 6 0.895923
