100 314 282 32 10.1911 94
1970 1.13552 1.816 2.06211 4 6 0.595296 1.2207 2.14136 2.47248 95.3862
1971 1.07827 1.88141 2.02867 4 6 0.59504 1.28637 2.05432 2.39074 95.5549
1972 1.15669 1.81152 2.09536 4 6 0.596896 1.21462 2.15622 2.48134 95.3624
1973 1.15522 1.81322 2.09466 4 6 0.595648 1.21757 2.14607 2.47934 95.3746
1974 1.10298 1.84854 2.03891 4 6 0.594592 1.25395 2.09377 2.4441 95.4621
1975 1.16079 1.81242 2.10384 4 6 0.597376 1.21504 2.12694 2.49238 95.3807
1976 1.16327 1.79066 2.08301 4 6 0.593344 1.19731 2.05615 7.13242 90.8114
1977 1.04561 1.8769 1.9625 4 6 0.611648 1.26525 1.9969 2.3134 95.6897
1978 1.11121 1.81648 2.0185 4 6 0.60704 1.20944 2.13906 2.47681 95.3841
1979 1.13811 1.83667 2.09034 4 6 0.59472 1.24195 2.11316 2.46064 95.4262
1980 1.10412 1.82557 2.01565 4 6 0.593536 1.23203 2.13182 2.48127 95.3869
1981 1.11094 1.81747 2.0191 4 6 0.595296 1.22218 2.13799 2.47388 95.3881
1982 1.10736 1.82422 2.02006 4 6 0.59328 1.23094 2.13019 2.47657 95.3932
1983 1.10348 1.84547 2.03645 4 6 0.595136 1.25034 2.09406 2.43838 95.4676
1984 1.15742 1.80832 2.09299 4 6 0.593248 1.21507 2.14996 2.48578 95.3643
1985 1.12113 1.80493 2.02355 4 6 0.593728 1.2112 2.13219 2.49573 95.3721
1986 1.12306 1.80774 2.03021 4 6 0.597632 1.21011 2.15212 2.49308 95.3548
1987 1.12452 1.80864 2.03386 4 6 0.59424 1.2144 2.13473 2.48574 95.3795
1988 1.1439 1.80387 2.06346 4 6 0.594304 1.20957 2.13673 2.49539 95.3679
1989 1.12545 1.80826 2.0351 4 6 0.593984 1.21427 2.13861 2.47958 95.3818
1990 1.13926 1.83254 2.08774 4 6 0.607552 1.22499 2.11617 2.46109 95.4227
1991 1.1146 1.8169 2.02512 4 6 0.603616 1.21328 2.12698 2.48148 95.3915
1992 1.08768 1.8609 2.02406 4 6 0.601184 1.25971 2.12375 2.58095 95.2953
1993 1.11196 1.81574 2.01904 4 6 0.596672 1.21907 2.14014 2.46629 95.3936
1994 1.10561 1.82627 2.01914 4 6 0.593248 1.23302 2.1135 2.45962 95.4269
1995 1.10339 1.8313 2.02064 4 6 0.602752 1.22854 2.13808 2.49304 95.3689
1996 1.06953 1.89616 2.028 4 6 0.593984 1.30218 2.05158 2.37738 95.571
1997 1.16013 1.80694 2.09629 4 6 0.59488 1.21206 2.14616 2.50583 95.348
1998 1.11982 1.8097 2.02653 4 6 0.594752 1.21494 2.13189 2.4844 95.3837
1999 1.12656 1.80803 2.03686 4 6 0.593792 1.21424 2.13028 2.49489 95.3748
2000 1.10915 1.78077 1.97514 4 6 0.59728 1.18349 2.15608 2.54311 95.3008
2001 1.08753 1.85974 2.02253 4 6 0.604928 1.25482 2.02383 2.35126 95.6249
2002 1.08008 1.87501 2.02515 4 6 0.596288 1.27872 2.05925 2.40653 95.5342
2003 1.10778 1.82326 2.01978 4 6 0.608064 1.2152 2.12492 2.46819 95.4069
2004 1.11632 1.80957 2.02006 4 6 0.597696 1.21187 2.12375 2.48642 95.3898
2005 1.11867 1.81149 2.02646 4 6 0.5952 1.21629 2.14623 2.48821 95.3656
2006 1.12994 1.82064 2.05722 4 6 0.596736 1.2239 2.1344 2.47141 95.3942
2007 1.08555 1.86794 2.02774 4 6 0.595104 1.27283 2.0877 2.40674 95.5056
2008 1.10708 1.82739 2.02307 4 6 0.595264 1.23213 2.10853 2.47945 95.412
2009 1.15592 1.81094 2.09331 4 6 0.597024 1.21392 2.12709 2.48778 95.3851
2010 1.09929 1.84989 2.03357 4 6 0.595872 1.25402 2.08763 2.43447 95.4779
2011 1.12393 1.80691 2.03085 4 6 0.594912 1.212 2.14979 2.49261 95.3576
2012 1.12277 1.80992 2.03213 4 6 0.594528 1.21539 2.13003 2.4825 95.3875
2013 1.11975 1.80934 2.02602 4 6 0.595296 1.21405 2.13713 2.48967 95.3732
2014 1.12276 1.81427 2.03699 4 6 0.602464 1.21181 2.14015 2.46824 95.3916
2015 1.17995 1.81139 2.13734 4 6 0.595488 1.2159 2.14479 2.48345 95.3718
2016 1.11464 1.81322 2.02109 4 6 0.60128 1.21194 2.1263 2.47984 95.3939
2017 1.11548 1.80918 2.01811 4 6 0.59584 1.21334 2.15224 2.48621 95.3615
2018 1.11204 1.80819 2.01078 4 6 0.597024 1.21117 2.13678 2.49122 95.372
2019 1.07993 1.86518 2.01427 4 6 0.596576 1.26861 2.06637 2.42032 95.5133
2020 1.11187 1.81504 2.01808 4 6 0.5976 1.21744 2.14519 2.49823 95.3566
2021 1.02897 1.96483 2.02176 4 6 0.59456 1.37027 1.98597 2.2993 95.7147
2022 1.12132 1.8129 2.03283 4 6 0.594624 1.21827 2.13504 2.47348 95.3915
