0,0
0.01,-3.78767
0.02,-6.18583
0.03,-7.70698
0.04,-8.67336
0.05,-9.28792
0.06,-9.67875
0.07,-9.92688
0.08,-10.0837
0.09,-10.182
0.1,-10.2426
0.11,-10.2788
0.12,-10.2993
0.13,-10.3095
0.14,-10.313
0.15,-10.3122
0.16,-10.3084
0.17,-10.3028
0.18,-10.2958
0.19,-10.288
0.2,-10.2796
0.21,-10.2708
0.22,-10.2618
0.23,-10.2525
0.24,-10.2431
0.25,-10.2335
0.26,-10.2239
0.27,-10.2142
0.28,-10.2044
0.29,-10.1945
0.3,-10.1846
0.31,-10.1746
0.32,-10.1646
0.33,-10.1545
0.34,-10.1444
0.35,-10.1342
0.36,-10.1239
0.37,-10.1137
0.38,-10.1033
0.39,-10.0929
0.4,-10.0825
0.41,-10.072
0.42,-10.0615
0.43,-10.0509
0.44,-10.0402
0.45,-10.0295
0.46,-10.0188
0.47,-10.008
0.48,-9.99714
0.49,-9.98624
0.5,-9.97528
0.51,-9.96427
0.52,-9.95321
0.53,-9.9421
0.54,-9.93093
0.55,-9.91971
0.56,-9.90844
0.57,-9.89711
0.58,-9.88572
0.59,-9.87429
0.6,-9.8628
0.61,-9.85125
0.62,-9.83965
0.63,-9.82799
0.64,-9.81628
0.65,-9.80452
0.66,-9.79269
0.67,-9.78082
0.68,-9.76888
0.69,-9.75689
0.7,-9.74484
0.71,-9.73274
0.72,-9.72058
0.73,-9.70836
0.74,-9.69609
0.75,-9.68376
0.76,-9.67137
0.77,-9.65892
0.78,-9.64642
0.79,-9.63386
0.8,-9.62124
0.81,-9.60856
0.82,-9.59582
0.83,-9.58302
0.84,-9.57016
0.85,-9.55725
0.86,-9.54427
0.87,-9.53124
0.88,-9.51814
0.89,-9.50499
0.9,-9.49177
0.91,-9.4785
0.92,-9.46516
0.93,-9.45176
0.94,-9.43831
0.95,-9.42479
0.96,-9.41121
0.97,-9.39756
0.98,-9.38386
0.99,-9.37009
1,-9.35627
1.01,-9.34237
1.02,-9.32842
1.03,-9.31441
1.04,-9.30033
1.05,-9.28619
1.06,-9.27198
1.07,-9.25771
1.08,-9.24338
1.09,-9.22898
1.1,-9.21453
1.11,-9.2
1.12,-9.18541
1.13,-9.17076
1.14,-9.15604
1.15,-9.14126
1.16,-9.12641
1.17,-9.1115
1.18,-9.09652
1.19,-9.08147
1.2,-9.06636
1.21,-9.05118
1.22,-9.03594
1.23,-9.02063
1.24,-9.00526
1.25,-8.98981
1.26,-8.9743
1.27,-8.95873
1.28,-8.94308
1.29,-8.92737
1.3,-8.91159
1.31,-8.89574
1.32,-8.87983
1.33,-8.86384
1.34,-8.84779
1.35,-8.83167
1.36,-8.81548
1.37,-8.79922
1.38,-8.7829
1.39,-8.7665
1.4,-8.75003
1.41,-8.7335
1.42,-8.71689
1.43,-8.70021
1.44,-8.68347
1.45,-8.66665
1.46,-8.64977
1.47,-8.63281
1.48,-8.61578
1.49,-8.59868
1.5,-8.58151
1.51,-8.56427
1.52,-8.54696
1.53,-8.52958
1.54,-8.51212
1.55,-8.49459
1.56,-8.47699
1.57,-8.45932
1.58,-8.44158
1.59,-8.42376
1.6,-8.40587
1.61,-8.38791
1.62,-8.36987
1.63,-8.35176
1.64,-8.33358
